transaction_id,timestamp,product_id,quantity,price,customer_id,sales_channel,discount_code,region,payment_method,transaction_status
1,2025-10-23 18:19:18,8,,,8,store,NOTVALID,South,paypal,pending
2,2025-02-20 06:51:58.014460,2,5,318.0,8,reseller,STUDENT20,West,debit_card,completed
3,2025-12-14 01:39:24,5,,,-5,store,,invalid_region,,completed
4,2025-12-02 12:33:56.274826,8,3,150,1,,NOTVALID,Central,paypal,completed
5,2025-02-28 17:52:29,9999999,,,8,invalid_channel,WELCOME10,North,paypal,pending
1,2025-12-04 23:57:18,7,0,0.0,8,,STUDENT20,East,invalid_method,unknown
7,2025-11-07 17:28:54,5,-2,-175.88,2,online,STUDENT20,,debit_card,unknown
8,2025-03-01 06:54:34,2,,,32,invalid_channel,,North,invalid_method,
9,2025-10-27 02:50:24,1,,,,,NOTVALID,,paypal,unknown
10,2025-01-20 10:02:13,,-2,,10,invalid_channel,STUDENT20,invalid_region,credit_card,completed
,2025-10-04 17:58:22,8,4,200,10,store,STUDENT20,Central,debit_card,unknown
12,2025-10-19 20:22:08,1,,,1,invalid_channel,STUDENT20,,cash,failed
13,2025-06-28 06:54:44,2,,,-5,reseller,WELCOME10,South,credit_card,completed
14,2025-08-13 19:37:03,8,,,999,online,NOTVALID,South,debit_card,failed
15,2025-11-20 14:21:07,8,1,50,1,,,,cash,completed
,2025-01-07 21:47:54.729317,,-1,,133,store,NOTVALID,South,credit_card,completed
17,2025-04-01 13:41:31,7,-1,-36.9,133,store,NOTVALID,Central,debit_card,unknown
18,2025-10-19 13:11:56,10,,,10,online,HALFOFF,South,invalid_method,pending
19,2025-10-11 06:22:00,5,,,133,reseller,WELCOME10,Central,cash,completed
20,2025-08-01 02:13:27,8,-1,-50,2,invalid_channel,STUDENT20,North,paypal,pending
8,2025-10-16 12:04:36,5,6,527.64,999,online,,invalid_region,debit_card,failed
22,2025-11-08 09:39:30,9999999,4,39999996,-5,store,,North,credit_card,pending
23,2025-05-28 06:08:32,2,,,8,store,STUDENT20,North,,completed
24,2025-08-02 22:44:50,5,-1,-87.94,8,reseller,NOTVALID,Central,cash,
25,2025-05-12 19:45:04,9999999,,,2,invalid_channel,WELCOME10,Central,invalid_method,completed
13,2025-11-26 13:11:47,10,10,999.9,32,reseller,NOTVALID,West,invalid_method,
27,2025-10-23 04:44:52,10,2,199.98,,store,STUDENT20,East,debit_card,completed
28,2025-03-20 01:52:56,10,,,,,NOTVALID,North,,
29,2025-09-27 06:27:08.584705,10,,,133,reseller,NOTVALID,Central,,unknown
30,,9999999,2,19999998,8,,NOTVALID,West,credit_card,unknown
,2025-03-17 14:28:56,3,,,8,,,South,paypal,completed
32,2025-03-24 13:24:54,3,,,,store,WELCOME10,invalid_region,credit_card,failed
33,2025-02-11 10:26:21.518763,10,,,1,store,NOTVALID,North,cash,pending
34,2025-08-06 08:50:17,2,,,8,,,,,unknown
35,2025-02-07 07:33:52,10,0,0.0,2,reseller,HALFOFF,South,debit_card,failed
,2025-12-17 15:54:21,7,9,332.1,999,store,,East,paypal,pending
37,2025-10-06 01:25:34.162629,5,6,527.64,8,reseller,WELCOME10,,debit_card,
38,2025-03-19 09:48:14,9999999,1,9999999,133,,,Central,paypal,pending
39,2025-01-22 18:14:04,10,,,8,invalid_channel,,,cash,pending
40,2025-09-06 23:37:07.668309,2,,,2,,WELCOME10,East,debit_card,failed
,2025-02-11 08:23:07.618142,10,-1,-99.99,133,online,STUDENT20,West,paypal,
42,2025-02-09 21:08:06,5,8,703.52,133,reseller,,,debit_card,failed
43,2025-08-24 14:27:41,8,,,-5,,NOTVALID,invalid_region,paypal,failed
44,2025-10-21 09:22:26.708955,9999999,8,79999992,1,online,NOTVALID,North,,pending
45,2025-08-26 23:34:06,10,,,,,,South,cash,pending
,2025-12-05 15:08:14.088971,1,-2,-48.6,1,online,STUDENT20,,debit_card,pending
47,2025-05-07 23:15:26,2,2,127.2,10,online,,West,,
48,,3,1,39.2,10,,,North,credit_card,pending
49,not_a_timestamp,3,6,235.2,999,store,STUDENT20,East,cash,completed
50,2025-11-15 06:28:46.033247,8,-1,-50,8,invalid_channel,,South,,unknown
,2025-05-12 22:49:08.763409,2,7,445.2,,store,NOTVALID,West,invalid_method,failed
